,brand,overall_rating,planet_score,people_score,animals_score,description
10,Reformation,4,4,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Reformation “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including Tencel Lyocell.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It has a policy approved by CanopyStyle to prevent deforestation of ancient and endangered forests in its supply chain.To minimise waste, it recycles some of its textile offcuts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Reformation “Good”. These are a few factors influencing its score:It traces most of its supply chain.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It audits some of its supply chain including all of the final production stage.It ensures some workers in the final production stage are paid living wages, though not in its entire supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Reformation “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare and clear implementation mechanisms in place.It appears to use leather, exotic animal hair, and silk.Responsible Wool Standard certifies the wool it sources.It doesn’t appear to use down, fur, angora, or exotic animal skin.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Reformation “Good” overall."
11,Acne Studios,3,2,3,2,"Acne Studio's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals in most of its supply chain. It recycles most of its offcuts to minimise textile waste. Its labour rating is 'it's a start'. Some of its supply chain is certified by Fair Wear Foundation including most of the final stage of production. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It has a project to improve wages in some of its supply chain. There is no evidence it implements gender equality initiatives in its supply chain. It discloses policies to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. It has a basic formal policy to protect animal welfare. It uses leather and exotic animal hair. It states that it sources wool from non-mulesed sheep. It uses down accredited by the Responsible Down Standard. It does not use angora, fur or exotic animal skin. It traces most animal products to the first stage of production. Acne Studios is rated 'It's a start' overall."
12,Alice + Olivia,1,1,1,2,"Alice + Olivia's environment rating is 'very poor'. It uses few eco-friendly materials. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it minimises packaging.Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers. Its animal rating is 'not good enough'. There is no evidence it has a policy to minimise the suffering of animals. It uses leather, exotic animal hair and wool. It does not use fur, down, angora, or exotic animal skin. There is no evidence it traces any animal product to the first stage of production.Alice + Olivia is rated 'We avoid' overall."
13,Sandy Liang,2,2,1,0,"This brand provides insufficient relevant information about how it reduces its impact on people, the planet and animals. You have a right to know how the products you buy affect the issues you care about. Sandy Liang is rated 'Not good enough' overall."
14,Billabong,2,2,1,2,"Billabong is owned by Boardriders.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Billabong “Not Good Enough”. These are a few issues influencing its score:It uses some lower-impact materials including recycled materials.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it’s taking meaningful action to reduce its climate impacts.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Billabong “Very Poor”. These are a few issues influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 0-10% in the 2022 Fashion Transparency Index.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Billabong “Not Good Enough”. These are a few issues influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare.It appears to use leather and wool.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, exotic animal skin, or exotic animal hair.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Billabong “Not Good Enough” overall."
15,Adidas,2,3,2,2,"Adidas is owned by Adidas Group.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Adidas “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.It’s set a target to eliminate hazardous chemicals by 2025 and claims it’s on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Adidas “Not Good Enough”. These are a few factors influencing its score:Its social auditing program is accredited by Fair Labor Association (FLA), covering its entire final production stage.It received a score of 51-60% in the 2023 Fashion Transparency Index.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.It has been linked to recent human rights violations in its supply chain, including ongoing cases of wage theft in Cambodia.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Adidas “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, down, and exotic animal skin.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.It doesn’t appear to use fur, angora, or exotic animal hair.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Adidas “Not Good Enough” overall."
16,Aritzia,2,2,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Aritzia “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.There's no evidence it has set a greenhouse gas emissions reduction target.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Aritzia “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 11-20% in the 2022 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Aritzia “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare and clear implementation mechanisms in place.It appears to use leather, exotic animal hair, and silk.Responsible Wool Standard certifies some of the wool it sources.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Aritzia “Not Good Enough” overall."
17,Uniqlo,3,3,3,2,"Uniqlo is owned by Fast Retailing.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Uniqlo “It's a Start”. These are a few issues influencing its score:It uses some lower-impact materials including recycled materials.It offers clothing recycling to consumers to help address end-of-life textile waste.It takes some actions to reduce water use in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Uniqlo “It's a Start”. These are a few issues influencing its score:Its social auditing program covering its entire final production stage is accredited by Fair Labor Association (FLA).It received a score of 41-50% in the 2022 Fashion Transparency Index.There’s no evidence it implements practices to support diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Uniqlo “Not Good Enough”. These are a few issues influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, exotic animal hair, and silk.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.It uses some recycled down in its products.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Uniqlo “It's a Start” overall."
18,Area,2,2,1,0,"This brand provides insufficient relevant information about how it reduces its impact on people, the planet and animals. You have a right to know how the products you buy affect the issues you care about. Area is rated 'Not good enough' overall."
19,Balenciaga,3,4,3,2,"Balenciaga is owned by Kering.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Balenciaga “Good”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It has a policy to protect biodiversity throughout its supply chain.While it offers resale of second hand products, there’s no evidence it’s taking further action to address textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Balenciaga “It's a Start”. These are a few factors influencing its score:Most of its final production stage happens in the European Union, a low/medium risk region for labour abuse.It received a score of 41-50% in the 2022 Fashion Transparency Index.It has a comprehensive policy to support diversity and inclusion in its direct operations but not in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Balenciaga “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather, shearling, exotic animal hair, and silk.Responsible Wool Standard certifies some of the wool it sources.It doesn’t appear to use down, fur, angora, or exotic animal skin.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Balenciaga “It's a Start” overall."
20,Bottega Veneta,3,4,3,2,"Bottega Veneta is owned by Kering.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Bottega Veneta “Good”. These are a few factors influencing its score:It uses few lower-impact materials.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It has a policy to reduce the chemical-heavy chromium processes in its leather tanning.To minimise waste, it recycles some of its textile offcuts.It has a policy to protect biodiversity throughout its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Bottega Veneta “It's a Start”. These are a few factors influencing its score:More than half its final production stage is certified by Social Accountability International - SA8000.It received a score of 41-50% in the 2022 Fashion Transparency Index.It has a comprehensive policy to support diversity and inclusion in its direct operations but not in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Bottega Veneta “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather, wool, shearling, exotic animal hair, and silk.It doesn’t appear to use down, fur, angora, or exotic animal skin.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Bottega Veneta “It's a Start” overall."
21,Brooks Brothers,1,1,1,0,"Transparency is essential for keeping brands accountable and making more informed choices. Unfortunately, Brooks Brothers provides insufficient information about the actions it’s taking to address its impacts on people, the planet, and animals. You have a right to know how the products you buy affect the issues you care about.Based on all publicly available information we’ve reviewed, we rate Brooks Brothers “We Avoid” overall."
22,Burberry,3,4,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Burberry “Good”. These are a few issues influencing its score:It uses some lower-impact materials including organic cotton.It produces long lasting products.To minimise waste, it reuses some of its textile offcuts.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It’s set a target to eliminate hazardous chemicals by 2025 but claims it’s not on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Burberry “Not Good Enough”. These are a few issues influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 31-40% in the 2022 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Burberry “Not Good Enough”. These are a few issues influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather, wool, shearling, exotic animal hair, and silk.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Burberry “It's a Start” overall."
23,Chanel,2,2,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Chanel “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Chanel “Not Good Enough”. These are a few factors influencing its score:Most of its final production stage happens in the European Union, a low/medium risk region for labour abuse.It received a score of 11-20% in the 2022 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Chanel “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use leather, wool, exotic animal hair, decorative feathers, and silk.It doesn’t appear to use down, fur, angora, or exotic animal skin.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Chanel “Not Good Enough” overall."
