,brand,overall_rating,planet_score,people_score,animals_score,description
10,MANOLA,3,4,2,Not applicable,"MANOLA's environment rating is 'good'. It uses a medium proportion of eco-friendly materials. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'not good enough'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain. This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only. MANOLA is rated 'It's a start' overall."
11,Prairie Underground,4,5,2,4,"Prairie Underground's environment rating is 'great'. It uses a medium proportion of eco-friendly materials including organic cotton. It has a limited production run to minimise textile waste. It reduces its water use by using a closed-loop system. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces some of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain.Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool. Prairie Underground is rated 'Good' overall."
12,Loop Swim,4,5,4,Not applicable,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Loop Swim “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including recycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It takes action to reduce process greenhouse gas emissions during manufacturing.It reuses cardboard to minimise packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Loop Swim “Good”. These are a few factors influencing its score:Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.It ensures workers in the final production stage are paid a living wage, though not in its entire supply chain.It visits its suppliers regularly.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Since Loop Swim makes products that are generally free of animal-derived materials, we’ve not rated its impact on animals. Its overall rating is based on its combined environment and labour scores.Based on all publicly available information we’ve reviewed, we rate Loop Swim “Good” overall."
13,Touch Me Not,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Touch Me Not “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.It avoids plastic packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Touch Me Not “Good”. These are a few factors influencing its score:Its products are made in-house by the owners.There's no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Touch Me Not “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Touch Me Not “Good” overall."
14,Icebreaker,3,3,3,4,"Icebreaker is owned by VF Corporation.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Icebreaker “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It’s published a biodiversity protection policy that applies to some of its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.It takes actions to reduce water use in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Icebreaker “It's a Start”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 61-70% in the 2023 Fashion Transparency Index.It provides leadership programs for women in its supply chain, which can lead to promotions and higher wages.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Icebreaker “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.ZQ Merino Label certifies some of the wool it sources.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Icebreaker “It's a Start” overall."
15,Wuxly Movement,4,5,3,5,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Wuxly Movement “Great”. These are a few issues influencing its score:It uses a high proportion of lower-impact materials including recycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it reuses some of its textile offcuts.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Wuxly Movement “It's a Start”. These are a few issues influencing its score:Its final production stage happens in Canada, a low risk country for labour abuse.It partly traces its supply chain including all of the final production stage.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Wuxly Movement “Great”. It states that its entire product range is vegan.Based on all publicly available information we’ve reviewed, we rate Wuxly Movement “Good” overall."
16,Looptworks,4,5,2,4,"Looptworks' environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It has a limited production run to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. It does not disclose where all of its finals stage of production occurs. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. Its animal rating is 'good'. It does not use angora, down, fur, exotic animal skin or exotic animal hair. It uses recycled wool and recycled leather. Looptworks is rated 'Good' overall."
17,Lucy & Yak,4,5,3,4,"Lucy & Yak's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start' . It monitors health and safety issues by visiting all of its final stage of production suppliers. It sources from countries with extreme risk of labour abuse. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It traces most of its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Lucy & Yak is rated 'Good' overall."
18,1 People,4,3,3,4,"1 People's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including recycled materials. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. There is no evidence it investigates and reports on safety incidents. It sources its final stage of production from countries with extreme risk of labour abuse. It ensures payment of a living wage in the final stage of production. It traces some of its supply chain. It audits some of its supply chain but does not specify what percentage. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool certified by the Responsible Wool Standard. 1 People is rated 'Good' overall."
19,Untold Jewellery,4,4,4,Not applicable,"Untold Jewellery's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. Its products are made to order to minimise waste. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It uses a medium proportion of Fairtrade Gold, Its products are manufactured in-house by a small team. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify the percentage. This brand makes products that are generally free of animal materials. We have not rated its impact on animals. The overall rating is based on environment and labour scores only. Untold Jewellery is rated 'Good' overall."
20,Mien,4,5,3,4,"Mien's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It manufactures locally to reduce its climate impact. It has a limited production run to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain.Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Mien is rated 'Good' overall."
21,The Tiny Closet,5,5,5,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate The Tiny Closet “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including upcycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, its products are made-to-order.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate The Tiny Closet “Great”. These are a few factors influencing its score:Its products are manufactured in-house by the owner.It traces all of its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate The Tiny Closet “Good”. These are a few factors influencing its score:It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate The Tiny Closet “Great” overall."
22,Unrecorded,4,5,4,3,"Unrecorded's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It manufactures locally to reduce its carbon footprint. It reuses its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces most of its supply chain. It visits its suppliers regularly. It is unclear whether it ensures payment of a living wage in its supply chain.Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep. It uses leather. Unrecorded is rated 'Good' overall."
23,Passion Lilie,4,4,5,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Passion Lilie “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it reuses some of its textile offcuts.To reduce its climate impacts, it uses renewable energy in its supply chain.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Passion Lilie “Great”. These are a few factors influencing its score:It is a member of the WFTO Guarantee System.It traces most of its supply chain.It ensures workers in the final production stage are paid a living wage.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Passion Lilie “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Passion Lilie “Good” overall."
24,Hopeless Lingerie,4,4,3,Not applicable,Hopeless Lingerie's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. Its products are made to order to minimise textile waste. It manufactures locally to reduce its carbon footprint. It uses compostable packaging. Its labour rating is 'it's a start'. Its products are made in-house by the a small team. It traces some of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. This brand makes products that are generally free of animal materials. We have not rated its impact on animals. The overall rating is based on environment and labour scores only. Hopeless Lingerie is rated 'Good' overall.
25,Näz,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Näz “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise the industry's waste, it reuses textile offcuts from other companies.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.It uses recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Näz “Good”. These are a few factors influencing its score:Some of its supply chain is certified by Global Organic Textile Standard (GOTS) certified organic cotton, and Oeko-Tex STeP.Its final production stage happens in Portugal, a medium risk country for labour abuse.It traces most of its supply chain.It visits its suppliers regularly.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Näz “Good”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use exotic animal hair and silk.It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Näz “Good” overall."
26,Anchal,4,4,5,4,"Anchal's rating applies to the Anchal house apparel brand only and does not cover other brands stocked by Anchal or other categories of products outside of apparel. Its environment rating is 'good'. It uses a high proportion of eco-friendly materials including recycled materials. It manufactures by hand to reduce its climate impact. There is no evidence it minimises textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. It provides jobs for workers from disadvantaged communities in India. It traces most of its supply chain. It ensures payment of a living wage in the final stage of production. It visits its suppliers regularly. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Anchal is rated 'Good' overall."
27,Pour Les Femmes,3,2,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Pour Les Femmes “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.There’s no evidence it’s taking meaningful action to reduce water use.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Pour Les Femmes “Good”. These are a few factors influencing its score:It has a mission to improve social conditions for Congolese women survivors of violence.It partly traces its supply chain including all of the final production stage.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Pour Les Femmes “Good”. These are a few factors influencing its score:It appears to use exotic animal hair, and silk.It doesn’t appear to use leather, wool, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Pour Les Femmes “It's a Start” overall."
28,One Vintage,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate One Vintage “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials.It uses lower-impact materials that help limit the chemicals, water, and wastewater in its Supply Chain.To minimise waste, it limits its production runs.It uses some recycled packaging.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate One Vintage “Good”. These are a few factors influencing its score:Its products are made in-house by a small team.It traces most of its supply chain.There’s no evidence it ensures workers are paid living wages.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate One Vintage “Good”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use recycled exotic animal hair.It uses recycled leather in all of its leather products.It uses recycled wool in all of its wool products.It doesn’t appear to use down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate One Vintage “Good” overall."
29,les girls les boys,3,2,3,4,les girls les boys' environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. It uses low-waste cutting techniques. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. It audits all of the final stage of production. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. les girls les boys is rated 'It's a start' overall.
30,Kysal,4,4,2,4,"Kysal's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'not good enough'. Its final stage of production is undertaken in Portugal and Italy, medium risk countries for labour abuse. There is no evidence it has a Code of Conduct. It traces some of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Kysal is rated 'Good' overall."
31,Erin Snow,3,4,2,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Erin Snow “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To reduce its climate impacts, it uses renewable energy in its supply chain.While it offers clothing recycling to consumers, it doesn’t report on its results.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Erin Snow “Not Good Enough”. These are a few factors influencing its score:It sources its final stage of production from countries with high risk of labour abuse.It traces most of its supply chain.It claims it has a Code of Conduct but does not publicly disclose it.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Erin Snow “It's a Start”. These are a few factors influencing its score:It’s published a general statement about minimising animal suffering but not a formal animal welfare policy.It appears to use wool.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Erin Snow “It's a Start” overall."
32,Les Sublimes,4,4,3,4,"Les Sublimes's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. Its final stage of production is undertaken in medium risk countries for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers but does not state how often. Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin or angora. It uses exotic animal hair. Les Sublimes is rated 'Good' overall."
33,A Happy Brand,4,4,3,4,"A Happy Brand's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with high risk of labour abuse. It traces most of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. A Happy Brand is rated 'Good' overall."
