,Brand,Rating,Factors
82,Anekdot,4,"Environmental Practices and Climate Impact, Labor Practices and Workers’ Rights, Animal Welfare Considerations"
83,Antonello Tedde,4,
84,Arrels Barcelona,4,
85,Anchal,4,"Sustainability at Anchal, A Holistic Approach to Sustainability"
86,Arc’teryx,3,"Environmental Impact, Workers’ Rights, Animal Welfare"
87,Angels Ambition,4,"Environment Rating, Labor Rating, Animal Rating, Overall Rating"
88,ARIELLE,4,
89,Annie Hamilton,4,
90,ARTICLE22,4,"Planet Rating: Good, People Rating: Great, Animals Rating: Not Good Enough, Overall Rating: Good"
91,AndAll,4,
92,BASTET NOIR,4,
93,Baiia,4,
94,BALL,3,"Reducing Environmental Impact, Labour Standards, Animal Welfare"
95,Avani,4,
96,ASK SCANDINAVIA,4,
97,AuTerra,5,
98,AVNIER,3,
99,Ay,4,
100,Automic Gold,4,"Championing Inclusivity and Diversity, Reclaimed and Recyclable, Independently Funded for Honesty, Automic Gold’s Pioneering Sustainability Initiatives, Reducing Environmental Impact: Eco-Friendly Materials , Ethical Labor Practices: The Path Towards Fair Labor, Nurturing Animal Welfare Animal-Friendly Materials, An Overall ‘Good’ Rating Sustainability: Achievements and Room for Growth "
101,Atelier Lavoisier,4,"People Rating: A Work in Progress, Animal Rating: No Impact on Animals, Overall Rating: Good"
102,Ayten Gasson,4,
103,Bam Loves Boo,4,
104,ASKET,4,
105,Bandsome,4,"Environment Rating – A Good Start, Labour Rating – Moving Towards Fair Labor Practices, Animal Rating – Cruelty-Free Fashion"
106,Aware…the social design project,4,
107,Auria Paris,5,
108,BAM Bamboo Clothing,4,
109,Band of Rascals,5,"Environmental Responsibility, Fair Labor Practices, Animal Welfare, Overall Rating: Great"
110,BAGGU,4,"Sustainable Materials and Packaging, Environment Rating: It’s a Start , Workers’ Rights: It’s a Start, Animal Rating: Great"
111,Balenciaga,3,"Environmental Policies, Workers’ Rights, Animal Welfare, Overall Rating"
112,Avila,4,
113,B Sides,3,
114,B_Boheme,4,
115,B.L.A.H.,3,
116,Athleta,3,"Water Security and Management, Labor Standards and Transparency, Animal Welfare"
117,Aventura,3,
118,Baserange,4,"Environmental Policies, Workers’ Rights, Animal Welfare, Overall Sustainability Rating"
119,autark,4,
120,Aster & Oak,5,
121,Bario Neal,4,
122,Bibico,4,"Eco-Friendly Materials, Minimizing Textile Waste, Sustainable Manufacturing, Promoting Fair Wages, Supply Chain Transparency, Sheep Wool Sourcing"
123,Bellerose,3,
124,Biehler,4,
125,Blue Of A Kind,4,
126,BeezyMama,3,"Materials, Manufacturing, Water Reduction Initiatives, Hazardous Chemicals"
127,Birdsong,4,
128,Bleue Burnham,4,"Eco-friendly Packaging, Handmade Production"
129,Better World Fashion,4,
130,Batch 1 UK,3,
131,Blanche,3,
132,bleed,4,
133,BAYTHE,4,
134,Batoko,4,
135,Bethany Williams,4,
136,Bilboa,3,
137,BITE,4,
138,Blonde Gone Rogue,4,"Eco-Friendly Materials, Labour Standards, Animal Welfare, Overall Assessment"
139,Bhumi,4,
140,Billi London,4,
141,Biankina,4,
142,Becci Boo’s Custom Shoes,4,
143,Beyond Skin,4,
144,BEEN London,4,
145,BEDI,4,
146,BeeKeeper Parade,4,
147,Beulah,4,
148,Bianca Spender,4,
149,behno,4,
150,Baukjen,4,"Eco-Friendly Materials and Packaging, Renewable Energy in the Supply Chain, Rental Scheme to Minimize Textile Waste, Code of Conduct and Supplier Relationships, Living Wage and Worker Welfare, Leather and Responsible Wool Usage, Fostering Animal Welfare"
151,Beaumont Organic,4,
152,bogdar,4,
153,Boma,3,
154,BOTTLETOP,4,
155,Brothers We Stand,4,
156,Boob,4,"Discover Boob: Elevating Sustainable Fashion, Labor Standards: A Commitment to Progress, Animal Welfare: A ‘Good’ Rating, Overall Rating: ‘Good’ with Room to Grow"
157,Bunti,4,
158,BUFF,4,
159,Brava Fabrics,4,
160,Burgeon Outdoor,3,
161,Boyish,4,
162,Bower,4,
163,BOA Basics,4,"Environmental Initiatives, Labour Practices, Animal-Friendly Approach"
164,Bow&Bo,4,
165,blufruit,5,
166,BoBo GloBal,4,
167,BRING,4,"People Rating, Animals Rating"
168,Bolso,4,
169,Boll & Branch,5,
170,Boody,4,
171,Bozena Jankowska,4,"The Environment: A Good Rating, Labor Practices: It’s a Start, Animal Welfare: A Good Rating, Overall Rating: Good"
172,Bonito,4,
173,Bluebuck,4,
174,Bon Label,5,"Environment Rating: Great, Labor Rating: Great, Animal Rating: Good"
175,Bougainvillea London,5,
176,Blue Wren Collective,5,
177,Boucheron,3,
178,Bobo Choses,3,
179,Blutsgeschwister,4,
180,Botto Giuseppe,4,"Good Environmental Practices, Working Towards Ethical Labor Practices, Animal Welfare and Cruelty-Free Practices, Achieving Overall Sustainability"
181,BONDI BORN,4,
182,Casa Raki,4,
183,CasaGIN,4,
184,Chillax,4,
185,CAFIN,4,
186,By Walid,4,
187,BUSHY,4,
188,Camp Cove Swim,4,
189,Charlee Swim,5,
190,Carlie Ballard,5,"Reducing Waste and Ensuring Worker Rights, Animal-Friendly Approach, Overall Sustainability Rating"
191,Charlie Mae Swimwear,4,
192,Chick Lane,3,
193,CARE BY ME,4,
194,Catarina Mina,3,"Environmental Impact: A Mixed Bag, Working Towards Fairtrade and Social Equality, Animal Welfare: A Positive Stance"
195,Burnt Soul,4,
196,Burton,3,
197,Cagey’s Planet,4,
198,CAES,4,
199,BYBBA,4,
200,CARPASUS,4,
201,Carmina Campus,4,
202,Capodimonti Cashmere,4,
203,Charli Cohen,4,
204,CASUPO,3,
205,Caftanii,3,
206,Chelsea Bravo,4,
207,CARIUMA,4,
208,Calle Del Mar,4,
209,Casco Totes,4,
210,Chic Made Consciously,4,"Protecting the Planet through Eco-Friendly Materials, Prioritizing Workers’ Rights and Ethical Practices, A Cruelty-Free Approach to Fashion, An Overall Good Rating for Chic Made Consciously"
211,CARCEL,3,
212,COG,4,"Environmental Impact, Workers’ Rights and Ethics, Animal Welfare"
213,Classic Cotton Co,4,"Environmentally Conscious Materials, A Responsible Approach to Packaging"
214,Coalatree,3,
215,Club Chainstitch,3,
216,Contessa Volpi,4,
217,Coolawoola,4,"Eco-Friendly Materials, Local Manufacturing for Reduced Climate Impact, Low-Waste Cutting Techniques, In-House Manufacturing by a Small Team, Supply Chain Traceability, Living Wage Considerations, No Leather, Fur, or Exotic Animal Skins, Recycled Wool and Exotic Animal Hair"
218,Ciganka – Artforms from Nature,5,
219,COSSAC,4,"Environment-Friendly Materials, Reducing Textile Waste, Renewable Energy and Climate Impact, Production in the European Union, Supply Chain Traceability, Livelihood of Workers"
220,ColieCo,4,"Environmental Policies, Labour Practices, Animal Welfare, Overall Rating"
221,Coq en Pâte,4,"Eco-friendly Materials for a Sustainable Future, Ensuring Fair and Ethical Labor Practices, Animal Welfare and Cruelty-Free Products"
222,CHNGE,4,Fair Work Labor
223,CHPO,3,
224,Cingomma,4,"The Good, Room for Improvement, Animal Welfare, Overall Rating"
225,Coco & Kandy,4,"Planet Rating: The Good Practices of Coco &amp; Kandy, People Rating: The Ethical Stance of Coco &amp; Kandy, Animals Rating: The Compassion of Coco &amp; Kandy"
226,Christy Dawn,5,
227,Come Back As A Flower,4,
228,Corkor,4,
229,Circos,4,
230,Citizen Wolf,5,
231,Clubhouse Vintage,4,"Lower-Impact Materials, Local Manufacturing, Packaging and Plastic Waste, Supply Chain Transparency, Code of Conduct and Living Wages, Recycled Materials, Avoidance of Controversial Materials"
232,Continew,4,
233,Cleobella,4,
234,CLOUDY,4,
235,Circle Sportswear,3,
236,Chopova Lowena,4,
237,Conscious Step,4,
238,Colorado Threads,3,"Eco-Friendly Materials, Labour Practices, Living Wage and Supply Chain Transparency"
239,Colorful Standard,4,
240,Conscious the label,4,
241,Converse,3,"Converse’s Sustainability Focus, Reducing Environmental Footprint, Greenhouse Gas Emissions, Eliminating Hazardous Chemicals, Prioritizing Workers’ Rights, Moderate Transparency, Living Wages and Diversity, Commitment to Worker Safety, Animal Welfare, Transparency Gaps"
242,Dai,4,
243,Deadwood,4,"Environment, Labor, Animal Welfare, Overall Rating"
244,Dear Darling Berlin,4,
245,Dedicated,5,
246,D&DEPARTMENT,4,
247,Day Won,4,
248,Coyuchi,4,
249,Diemonde,3,
250,Dilli Grey,4,
251,Desmond & Dempsey,4,
252,Dickies,3,
253,DAYWEARLAB,4,
254,Dapper Alice,4,
255,Desert Dyes,4,
256,Deux Mains,4,
257,Delayne Dixon,4,
258,Crystalyn Kae,4,
259,Dharma Bums,5,
260,Cotopaxi,4,
261,Cousin Billie,4,
262,DAWN Denim,5,
263,Dear Denier,4,
264,Destination Dress,4,
265,Delikate Rayne,4,
266,Designers Remix,4,
267,Culthread,5,
268,Cuisse de Grenouille,3,
269,DillySocks,4,
270,Dazey LA,3,"Workers’ Rights and Fair Practices, Animal Welfare Considerations, Overall Rating"
271,Cus,4,
272,econscious,4,
273,EcoRight,4,
274,Divine,4,
275,ecuvo,4,
276,E.L.V. Denim,5,
277,éclipse,5,
278,Donatella Fabio Beachwear,3,"A Commitment to Ethical Labor Practices, Overall Rating: An Encouraging Start"
279,Eguzkilore,4,"Factors Influencing its Environmental Rating, Focus on Workers’ Rights, Animal Welfare Considerations, Overall Sustainability Rating"
280,Eileen Fisher,4,
281,Dominique Healy,4,
282,DuchXFashion,5,
283,Ecoology,4,"Environmental Policies, Workers’ Rights, Animal Welfare"
284,Dimples,4,
285,Dresden,3,
286,Eco Intimates,4,"Medium Proportion of Eco-Friendly Materials, Textile Waste Minimization through Limited Production, Attention to Labor Practices, Call for a Living Wage in the Supply Chain, Supply Chain Transparency, Cruelty-Free Fashion with a Silk Exception"
287,Dirty Velvet,4,
288,Dots On Tots,4,"Planet-Friendly Practices, Workers’ Rights and Fair Labor Practices, Animal Welfare, Overall Sustainability Rating"
289,Ekta Helsinki,4,"Environmental Rating: Good, Labor Rating: It’s a Start, Animal Rating: Good"
290,DÔEN,3,
291,Dora Larsen,4,
292,Edeline Lee,4,
293,Edwin USA,4,
294,Ecologie by AWDis,4,
295,Earth Divas,4,
296,Dressarte Paris,4,
297,Drivemebikini,3,
298,Dreamers & Drifters,3,
299,Dorsu,5,
300,Ecoalf,4,"The Overall Rating, The Importance of Sustainability in Fashion, Ecoalf’s Contribution to Sustainability, The Benefits of Choosing Sustainable Fashion"
301,dk active,5,"Use of Lower-Impact Materials, Limiting Chemicals, Water, and Wastewater, Clothing Recycling, Local Manufacturing, Avoidance of Plastic Packaging, Production Stage in Low-Risk Country, Supply Chain Transparency, Living Wages, Entire Product Range is Vegan, Traceability of Animal-Derived Products"
302,Encircled,4,
303,ettitude,4,
304,Elk,4,
305,erlich textil,3,"Environmental Efforts, Labour Practices, Animal Welfare, Overall Assessment"
306,Elle Evans,4,
307,Everpress,4,
308,Elkline,4,
309,Ethletic,4,
310,Etiko,5,
311,ETQ,3,"Environment Rating: Not Good Enough, Labour Rating: Not Good Enough, Animal Rating: It’s a Start, Overall Rating: It’s a Start"
312,ÉTICA,5,"Environmental Commitment, Labor Practices, Animal Welfare, Overall Commitment and Rating"
313,Enfant Terrible,4,
314,Elvis & Kresse,4,
315,Elegantees,4,
316,Fabrik,4,
317,Enter the E,4,
318,Ella & Witt,4,
319,Elsien Gringhuis,4,
320,EllA Fashion,4,"Materials Matter, Safeguarding the Environment, Prioritizing Workers’ Rights, A Promising Future"
321,Engel,4,
322,Erin Draper,4,
323,Endless Joy,4,"Environment-Friendly Materials, Labour Standards and Workers’ Rights, Animal-Friendly Practices"
324,Elliss,4,
325,Elizabeth Suzann Studio,4,
326,émoi émoi,3,"Prioritizing Workers’ Rights, Caring for Animals"
327,Escama Studio,4,
328,eleven44,3,
329,Erba,4,"Environment Rating: Great, Labour Rating: It’s a Start, Animal Rating: Good"
330,ENDANGERED,4,
331,El Naturalista,3,
332,Flamingos’ Life,4,
333,Flowfold,3,"Environmental Impact, Workers’ Rights and Social Responsibility, Animal Welfare, Overall Evaluation"
334,FRANC,4,"Eco-Friendly Materials, Local Production, Worker’s Rights, Animal-Friendly Practices, The Overall Impact"
335,Flare Street,5,
336,FTC Cashmere,4,"Environment Rating: It’s a Start, Labor Rating: It’s a Start, Animal Rating: Good"
337,Fjällräven,3,
338,Florence Given,4,
339,Flax and Loom,4,
340,FREITAG,4,
341,Forét,4,
342,fairechild,4,
343,Frankie Collective,4,
344,Floris van Bommel,3,"Planet Rating: Not Good Enough, People Rating: It’s a Start, Animals Rating: Not Good Enough"
345,For Love and Lemons,3,
346,FM 669,4,
347,FREED,4,
348,Faithfull the Brand,3,
349,Fayettechill,4,
350,FUTURA Jewelry,5,"Environmentally Friendly Materials, Responsible Wastewater Treatment, Handmade Production for Climate Impact Reduction, Plastic-Free Packaging, Made-to-Order Production, Final Stage Production in the USA, Living Wage in Most of the Supply Chain, Traceability in the Supply Chain"
351,FIL MELANGE,4,"Environmental Impact, Social Responsibility, Animal Welfare, Overall Rating"
352,Free Label,4,"Environmental Impact: It’s a Start, Workers’ Rights: It’s a Start, Animal Welfare: Great, Overall Rating: Good"
353,Fair Indigo,5,"People, Animals, Overall"
354,Fair Harbor,3,
355,Frugi,4,
356,Fresh Cuts Clothing,4,
357,Fanfare,4,
358,Farm to Hanger,4,
359,Finisterre,4,
360,Finn + Emma,3,
361,FTLA Apparel,4,
362,General Sleep,4,"Environmental Responsibility, Ethical Labor Practices, Animal Welfare, Overall Sustainability Rating"
363,Good for Sunday,4,"Environmental Initiatives: A Step in the Right Direction, Labour Practices: Prioritizing Worker’s Rights, Animal Welfare: Cruelty-Free Fashion, Overall Rating: Making a Difference"
364,Graceful District,4,
365,Garçon Français,4,
366,GOODEE,4,
367,Galamaar,3,"Planet Rating: It’s a Start, People Rating: Not Good Enough, Animals Rating: Not Rated, Overall Rating: It’s a Start"
368,GARY MASH,4,
369,Goddess Gear,4,"The Designer’s Mission, From Colorado with Love, Organic Cotton Embrace , Mindful Production: Waste Reduction as a Way of Life, Eco-Friendly Miles: Shortening the Journey to Sustainability , Championing Workers’ Rights: A Path to Progress, Kindness to Creatures: Nurturing Animal Welfare"
370,Good Citizens Eyewear,4,
371,Girlfriend Collective,4,"Eco-Friendly Materials, Textile Waste Reduction, Wastewater Management, Energy Use and Greenhouse Gas Emissions, Labor Practices, Code of Conduct, Living Wage Assurance, Transparent Supply Chain, Cruelty-Free and Vegan Options, Overall Sustainability Rating"
372,GAI+LISVA,4,
373,Gaia Segattini Knotwear,4,"Environment Rating: Good, Labour Rating: Good, Animal Rating: Good"
374,GRAMMAR,4,"Eco-Friendly Materials, Local Manufacturing for a Reduced Carbon Footprint, Responsible Labor Practices, Promoting Animal Welfare"
375,Greenfibres,4,
376,Gina Marie Handbags,4,
377,Gergana Ivanova,3,
378,Good Guys,4,
379,GOT BAG,3,
380,goodsociety,4,
381,goodtrip,3,
382,Goat Organic Apparel,4,
383,Glass Onion,5,
384,Go Gently Nation,4,
385,GR10K,2,
386,Gray Label,4,
387,go as u.r,4,
388,Gaia Conceptions,4,
389,Greenpacha,3,
390,Gazur,4,
391,Granelito,4,
392,Greg Lauren,4,"Environmentally Conscious, Good Labor Practices, Cruelty-Free Fashion, A Brand Rated ‘Good’"
393,Herdentier,4,
394,GROUNDTRUTH,4,"Environment Rating: A ‘Great’ Stride Towards Sustainability, Labour Rating: Striving for Improvement, Animal Rating: A Compassionate Approach, The Overall Picture: GROUNDTRUTH’s Commitment to Sustainable Fashion"
395,GuterStoff,4,
396,HARA the label,4,"Textile Waste Reduction, Local Manufacturing, Wastewater Reduction, Supply Chain Transparency"
397,Holly Ryan,4,"Environment Rating, Labor Rating, Animal Materials"
398,Gunda Hafner,4,
399,HOCOSA,3,
400,hernest project,4,
401,Hindbag,4,
402,Groceries Apparel,4,
403,HERTH,4,
404,Gung Ho Design,4,
405,Hackwith Design House,4,
406,Happy Earth Apparel,4,"Eco Warrior Rating: Good, Fair Labor Champion Rating: Good, Animal-Friendly Legend Rating: Great, Overall Go Green Score: Good"
407,HarperSage,4,
408,HNST,4,
409,Gugguu,4,"Environmental Practices, Labor Practices, Animal Welfare"
410,Grounded People,4,
411,Grüne Erde,4,
412,haikure,3,
413,harly jae,4,"Environmental Commitment, Labor Practices and Ethics, Animal Welfare, The Overall Rating"
414,Harvest & Mill,5,
415,Hemen Biarritz,4,
416,Hailey Gerrits,4,"Eco-Friendly Materials, Local Manufacturing, Ethical Labor Practices, Animal Impact"
417,Heiko,4,
418,Gyre,4,
419,Harriet Morris,4,
420,Haglöfs,3,
421,GUNAS,4,
422,Indiebride,4,
423,Hopaal,5,"<em>Key Sustainability Initiatives</em>, <em>Key Points:</em>"
424,Isla In Bloom,4,
425,INGMARSON,4,
426,Iron Roots,5,
427,Jack Wolfskin,3,
428,Honest Basics,4,"Sustainable Materials, Labor Standards, Vegan Friendly"
429,Hopeless Lingerie,4,
430,iQ UV,4,
431,INTOA design,5,"Materials and Waste Reduction, Made-to-Order Production, Responsible Production, Labor Practices and Ethical Production, Transparent Supply Chain, Animal Welfare"
432,Icebug,4,
433,HYER GOODS,4,
434,Hoppidi Handmade,4,
435,Infantium Victoria,4,
436,J. Hannah,4,
437,In2Green,4,
438,Houdini,4,
439,Indigenous,4,
440,Horizon Athletic,3,
441,ID.EIGHT,4,
442,Jackalo,5,"Environment Rating: Great, Labor Rating: Great, Animal Rating: Good"
443,Indego Africa,4,
444,In The Soulshine,4,
445,I was a Sari,4,
446,Icebreaker,3,"Environmental Impact – “It’s a Start”, Worker’s Rights – “It’s a Start”, Animal Welfare – “Good”"
447,ISTO.,4,
448,ilovemixtapes,4,
449,Ilk + Ernie,4,
450,HoMie,3,
451,I’mdividual,4,"Environment Rating: Great, Labor Rating: Good, Animal Rating: It’s a Start, Overall Rating: Good"
452,KasuReKids,4,
453,Katharine Hamnett,4,
454,Junk Studios,4,
455,JENNIFER BEHR,3,"Environment Rating: Not Good Enough, Labor Rating: It’s a Start, Animal Rating: Not Good Enough"
456,JOYN,4,
457,Jillian Boustred,3,
458,Jaffic,3,
459,Jackfruit the label,5,
460,Joyya,5,
461,Jamie + The Jones,4,"Environmental Efforts, Labor Practices, Animal Welfare"
462,JAN ‘N JUNE,4,
463,KAPOK KNOT,4,
464,Jenny Yoo,3,
465,Kampos,4,
466,Jungle Folk,4,
467,Joslin,4,
468,Johnstons of Elgin,4,
469,Juwelier Willer,3,"Planet Rating, People Rating, Animals Rating"
470,Just Bee Queen,3,"Environment Rating: Not Good Enough, Labor Rating: Not Good Enough, Animal Rating: Good, Overall Rating: It’s a Start"
471,Kapten & Son,4,"Materials and Energy Usage, Waste Management and Product Longevity, Labour Practices and Worker Rights, Code of Conduct and Ethical Practices, Vegan Certification and Transparency"
472,Jamido,4,
473,JammaCaps,3,
474,Kalaurie,5,
475,KATTAN,4,
476,Joanie,4,"“People” Rating, “Animals” Rating"
477,Jyoti – Fair Works,4,
478,JEM,4,"Environmental Impact, Workers’ Rights, Animal Welfare, Overall Rating"
479,KAY KONECNA STUDIO,4,
480,Katla,4,"Conscious Minimization of Textile Waste: Striving for Efficiency, Good Labor Practices: Prioritizing Fair Treatment and Safety, Animal Welfare: Cruelty-Free Commitment"
481,Josette la Chouette,5,
482,Kozii Swimwear,3,
483,kekai Swimwear,4,
484,KOKOworld,4,
485,KnowledgeCotton Apparel,4,"Eco-Friendly Materials, Carbon Offset Program, Fair Labor Practices, Animal Welfare, A ‘Good’ Rating"
486,Kimoa,3,
487,Kowtow,4,
488,Knock Knock,4,
489,Kings of Indigo,5,"Elevating Style, Empowering Responsibility, Commendable Recycling Initiatives, Durable Designs for Sustainable Living, Eco-Friendly Manufacturing Practices, Exemplary Workers’ Rights Practices, Ethical and Cruelty-Free Practices"
490,Known Supply,4,"Sustainable Sourcing and Longevity, Promoting Workers’ Rights, Animal Welfare Initiatives"
491,Klättermusen,3,
492,Krochet Kids,4,
493,Knickey,5,
494,Koio,3,
495,Kotn,4,
496,Know The Origin,4,
497,Kilomet109,4,
498,KENT,4,
499,Konges Sløjd,3,
500,KORALI,3,
501,Kiku Boutique,4,
502,Kitikate,4,"Environmental Impact, Workers’ Rights, Animal Welfare"
503,Kuyichi,4,
504,KIDS WORLDWIDE,4,"Ensuring Ethical Practices, A Commitment to Animal Welfare"
505,Kimai,4,
506,Kuwaii,4,"Environment Rating, Labor Rating, Animal Rating, Overall Rating"
507,KIDSOFBROKENFUTURE,4,
508,Kordal Studio,4,Kordal Studio’s Sustainable Innovation: The Zero-Waste Patchwork Quilted Jacket
509,KIZASI,4,"KIZASI’s Environmental Impact, KIZASI’s Labor Practices, KIZASI’s Ethical Practices"
510,KOHR,5,
511,Komodo,4,
512,Lazy Oaf,3,
513,Labienhecha,4,
514,lana,4,
515,lemlem,4,
516,Lauren Holloway,4,
517,Lapuan Kankurit,4,"Eco-friendly Materials and Climate Impact, Waste Reduction and Hazardous Chemicals, Labor Practices and Supply Chain Transparency, Animal Welfare"
518,LANIUS,4,
519,la fille d’O,4,
520,Leanne Marshall,3,
521,L’Envers,4,
522,Laura Lombardi,4,
523,LDP,5,
524,Leni Swims,4,"ABOUT ETHICAL PRODUCTION, ABOUT  PACKAGING, ABOUT FABRICS, ABOUT  DESIGN, ABOUT  MARKETING, Eco-Conscious Material Choices, Packaging with Purpose, Room for Energy and Emissions Improvement, Labor Practices Progress, Addressing Labor Risks, Seeking Fair Wages, Animal Impact, In Summary"
525,Laura Elizabeth Jewelry,4,
526,Kzeniya,4,
527,La Methode,4,"Planet Rating: Good, People Rating: It’s a Start, Animals Rating: Good"
528,Lando Studio,4,
529,les boutons,4,
530,Lefrik,4,
531,La Bottega di Brunella,3,
532,Leisure Lab,3,
533,LangerChen,4,
534,LaBante,4,"Environmental Policies, Workers’ Rights and Ethical Practices, Animal Welfare, Overall Rating"
535,Kysal,4,"Environment Rating, Labor Rating, Animal Rating, Overall Rating"
536,LAUDAE,4,
537,LA Relaxed,5,
538,LAmade Clothing,3,
539,Le Loopas,4,
540,Lâcher Prise,4,
541,L’Estrange London,4,
542,Libeco,4,
543,Little Man Happy,4,
544,Löffler,3,
545,Londre Bodywear,4,
546,Little Green Radicals,5,
547,Living Crafts,5,
548,Lonely Kids Club,4,
549,London W11,4,"Local Manufacturing for Global Impact, Chemical Consciousness and Eco-Friendly Practices, Navigating Labor Practices with a Compassion Blueprint, The Compass of Animal Welfare, Assessing the Sustainability Tapestry"
550,Lezat,4,
551,Linenfox,4,
552,Losano,4,
553,Little Emperor,4,
554,LOCI,4,"Environmental Initiatives, Labor Practices, Animal-Friendly Products, Overall Rating"
555,Looptworks,4,
556,Lilian von Trapp,5,
557,LNDR,3,
558,Lola & Stella,4,"Environmentally-friendly Materials, Reducing Textile Waste, Ethical Manufacturing Practices, Animal-friendly Approach, Overall Sustainability Rating – Good"
559,Liv:ra,4,
560,LOCAL EUROPEAN,2,
561,Linen Wedding Dress,3,
562,Lilac Limited Crochet,3,
563,Lost in Paris,5,
564,loud + proud,5,
565,Lionel the Label,4,
566,Linenbee,4,"Celebration of Diversity, Craftsmanship, Local Love, Waste Warriors, Work to Be Done on Chemicals, Fair Work Conditions, Animal-Friendly"
567,LONGEVITY LONDON,4,
568,Loop Swim,4,"1. Lower-Impact Materials and Chemical Limitation, 2. Greenhouse Gas Reduction, 3. Innovative Packaging Solutions, 4. Workers’ Rights and Supply Chain Transparency, 5. Ongoing Commitment to Labor Conditions, 6. Animal Welfare Considerations"
569,Les Récupérables,4,
570,Licia Florio,4,
571,Little Nature Lover,4,
572,LOVJOI,4,
573,LUNA & ROSE,4,
574,Luva Huva,4,
575,Luxtra,4,
576,Marks & Spencer,3,
577,MagicLinen,3,
578,Magpie Goose,4,"<u>The “Planet” Rating</u>, <u>The “People” Rating</u>, <u>The “Animals” Rating</u>, <u>Overall Rating</u>"
579,Manimekala,4,
580,Love and Confuse,2,"Environmental Initiatives: A Good Start, Hazardous Chemicals and Climate Impact: A Gap in Sustainability, Workers’ Rights: A “Very Poor” Rating , Animal Welfare: A “Good” Effort "
581,Loyal E. Paris,4,
582,Lucy & Yak,4,
